;price ;earnings ;cpi;rates
40725;1325.19;84.91;225.922;3
40756;1185.31;85.94;226.545;2.3
40787;1173.88;86.98;226.889;1.98
40817;1207.22;86.97;226.421;2.15
40848;1226.42;86.96;226.23;2.01
40878;1243.32;86.95;225.672;1.98
40909;1300.58;87.48;226.665;1.97
40940;1352.49;88.01;227.663;1.97
40969;1389.24;88.54;229.392;2.17
41000;1386.43;88.33;230.085;2.05
41030;1341.27;88.13;229.815;1.8
41061;1323.48;87.92;229.478;1.62
41091;1359.78;87.45;229.104;1.53
41122;1403.45;86.97;230.379;1.68
41153;1443.42;86.5;231.407;1.72
41183;1437.82;86.5;231.317;1.75
41214;1394.51;86.51;230.221;1.65
41244;1422.29;86.51;229.601;1.72
41275;1480.4;86.91;230.28;1.91
41306;1512.31;87.3;232.166;1.98
41334;1550.83;87.7;232.773;1.96
41365;1570.7;88.78;232.531;1.76
41395;1639.84;89.87;232.945;1.93
41426;1618.77;90.95;233.504;2.3
41456;1668.68;92.09;233.596;2.58
41487;1670.09;93.23;233.877;2.74
41518;1687.17;94.37;234.149;2.81
41548;1720.03;96.31;233.546;2.62
41579;1783.54;98.26;233.069;2.72
41609;1807.78;100.2;233.049;2.9
41640;1822.36;100.42;233.916;2.86
41671;1817.04;100.63;234.781;2.71
41699;1863.52;100.85;236.293;2.72
41730;1864.26;101.61;237.072;2.71
41760;1889.77;102.36;237.9;2.56
41791;1947.09;103.12;238.343;2.6
41821;1973.1;104.07;238.25;2.54
41852;1961.53;105.01;237.852;2.42
41883;1993.23;105.96;238.031;2.53
41913;1937.27;104.74;237.433;2.3
41944;2044.57;103.53;236.151;2.33
41974;2054.27;102.31;234.812;2.21
42005;2028.18;101.29;233.707;1.88
42036;2082.2;100.27;234.722;1.98
42064;2079.99;99.25;236.119;2.04
42095;2094.86;97.8;236.599;1.94
42125;2111.94;96.36;237.805;2.2
42156;2099.29;94.91;238.638;2.36
42186;2094.14;93.49;238.654;2.32
42217;2039.87;92.08;238.316;2.17
42248;1944.41;90.66;237.945;2.17
42278;2024.81;89.28;237.838;2.07
42309;2080.62;87.91;237.336;2.26
42339;2054.08;86.53;236.525;2.24
42370;1918.6;86.5;236.916;2.09
42401;1904.42;86.47;237.111;1.78
42430;2021.95;86.44;238.132;1.89
42461;2075.54;86.6;239.261;1.81
42491;2065.55;86.76;240.229;1.81
42522;2083.89;86.92;241.018;1.64
42552;2148.9;87.64;240.628;1.5
42583;2170.95;88.37;240.849;1.56
42614;2157.69;89.09;241.428;1.63
42644;2143.02;90.91;241.729;1.76
42675;2164.99;92.73;241.353;2.14
42705;2246.63;94.55;241.432;2.49
42736;2275.12;96.46;242.839;2.43
42767;2329.91;98.38;243.603;2.42
42795;2366.82;100.29;243.801;2.48
42826;2359.31;101.53;244.524;2.3
42856;2395.35;102.78;244.733;2.3
42887;2433.99;104.02;244.955;2.19
42917;2454.1;105.04;244.786;2.32
42948;2456.22;106.06;245.519;2.21
42979;2492.84;107.08;246.819;2.2
